job1: (g=0): rw=write, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1): [W(1)][10.8%][w=856MiB/s][w=6851 IOPS][eta 19m:36s]Jobs: 1 (f=1): [W(1)][10.9%][w=848MiB/s][w=6784 IOPS][eta 19m:33s] 
Jobs: 1 (f=1): [W(1)][11.0%][w=852MiB/s][w=6819 IOPS][eta 19m:31s]Jobs: 1 (f=1): [W(1)][11.1%][w=853MiB/s][w=6822 IOPS][eta 19m:29s] 
Jobs: 1 (f=1): [W(1)][11.2%][w=859MiB/s][w=6873 IOPS][eta 19m:26s]Jobs: 1 (f=1): [W(1)][11.3%][w=845MiB/s][w=6759 IOPS][eta 19m:24s] 
Jobs: 1 (f=1): [W(1)][11.4%][w=856MiB/s][w=6847 IOPS][eta 19m:22s]Jobs: 1 (f=1): [W(1)][11.5%][w=853MiB/s][w=6820 IOPS][eta 19m:20s] 
Jobs: 1 (f=1): [W(1)][11.5%][w=856MiB/s][w=6845 IOPS][eta 19m:17s]Jobs: 1 (f=1): [W(1)][11.6%][w=843MiB/s][w=6742 IOPS][eta 19m:15s] 
Jobs: 1 (f=1): [W(1)][11.7%][w=856MiB/s][w=6846 IOPS][eta 19m:13s]Jobs: 1 (f=1): [W(1)][11.8%][w=858MiB/s][w=6864 IOPS][eta 19m:11s] 
Jobs: 1 (f=1): [W(1)][11.9%][w=850MiB/s][w=6798 IOPS][eta 19m:09s]Jobs: 1 (f=1): [W(1)][12.0%][w=850MiB/s][w=6800 IOPS][eta 19m:06s] 
Jobs: 1 (f=1): [W(1)][12.1%][w=856MiB/s][w=6846 IOPS][eta 19m:04s]Jobs: 1 (f=1): [W(1)][12.2%][w=862MiB/s][w=6897 IOPS][eta 19m:02s] 
Jobs: 1 (f=1): [W(1)][12.2%][w=839MiB/s][w=6715 IOPS][eta 19m:00s]Jobs: 1 (f=1): [W(1)][12.3%][w=858MiB/s][w=6865 IOPS][eta 18m:58s] 
Jobs: 1 (f=1): [W(1)][12.4%][w=858MiB/s][w=6861 IOPS][eta 18m:56s]Jobs: 1 (f=1): [W(1)][12.5%][w=855MiB/s][w=6842 IOPS][eta 18m:54s] 
Jobs: 1 (f=1): [W(1)][12.6%][w=844MiB/s][w=6755 IOPS][eta 18m:52s]Jobs: 1 (f=1): [W(1)][12.7%][w=859MiB/s][w=6869 IOPS][eta 18m:50s] 
Jobs: 1 (f=1): [W(1)][12.8%][w=857MiB/s][w=6859 IOPS][eta 18m:48s]Jobs: 1 (f=1): [W(1)][12.8%][w=843MiB/s][w=6741 IOPS][eta 18m:46s] 
Jobs: 1 (f=1): [W(1)][12.9%][w=857MiB/s][w=6857 IOPS][eta 18m:44s]Jobs: 1 (f=1): [W(1)][13.0%][w=856MiB/s][w=6851 IOPS][eta 18m:42s] 
Jobs: 1 (f=1): [W(1)][13.1%][w=852MiB/s][w=6818 IOPS][eta 18m:40s]Jobs: 1 (f=1): [W(1)][13.2%][w=842MiB/s][w=6739 IOPS][eta 18m:38s] 
Jobs: 1 (f=1): [W(1)][13.3%][w=857MiB/s][w=6858 IOPS][eta 18m:36s]Jobs: 1 (f=1): [W(1)][13.4%][w=856MiB/s][w=6849 IOPS][eta 18m:34s] 
Jobs: 1 (f=1): [W(1)][13.5%][w=854MiB/s][w=6835 IOPS][eta 18m:32s]Jobs: 1 (f=1): [W(1)][13.6%][w=849MiB/s][w=6795 IOPS][eta 18m:30s] 
Jobs: 1 (f=1): [W(1)][13.6%][w=852MiB/s][w=6812 IOPS][eta 18m:28s]Jobs: 1 (f=1): [W(1)][13.7%][w=860MiB/s][w=6882 IOPS][eta 18m:26s] 
Jobs: 1 (f=1): [W(1)][13.8%][w=845MiB/s][w=6757 IOPS][eta 18m:25s]Jobs: 1 (f=1): [W(1)][13.9%][w=855MiB/s][w=6840 IOPS][eta 18m:23s] 
Jobs: 1 (f=1): [W(1)][14.0%][w=857MiB/s][w=6854 IOPS][eta 18m:21s]Jobs: 1 (f=1): [W(1)][14.1%][w=859MiB/s][w=6875 IOPS][eta 18m:19s] 
Jobs: 1 (f=1): [W(1)][14.2%][w=840MiB/s][w=6723 IOPS][eta 18m:17s]Jobs: 1 (f=1): [W(1)][14.3%][w=857MiB/s][w=6853 IOPS][eta 18m:15s] 
Jobs: 1 (f=1): [W(1)][14.3%][w=863MiB/s][w=6900 IOPS][eta 18m:13s]Jobs: 1 (f=1): [W(1)][14.4%][w=846MiB/s][w=6766 IOPS][eta 18m:12s] 
Jobs: 1 (f=1): [W(1)][14.5%][w=850MiB/s][w=6797 IOPS][eta 18m:10s]Jobs: 1 (f=1): [W(1)][14.6%][w=857MiB/s][w=6853 IOPS][eta 18m:08s] 
Jobs: 1 (f=1): [W(1)][14.7%][w=862MiB/s][w=6894 IOPS][eta 18m:06s]Jobs: 1 (f=1): [W(1)][14.8%][w=839MiB/s][w=6708 IOPS][eta 18m:05s] 
Jobs: 1 (f=1): [W(1)][14.9%][w=858MiB/s][w=6862 IOPS][eta 18m:03s]Jobs: 1 (f=1): [W(1)][14.9%][w=859MiB/s][w=6870 IOPS][eta 18m:01s] 
Jobs: 1 (f=1): [W(1)][15.0%][w=853MiB/s][w=6820 IOPS][eta 17m:59s]Jobs: 1 (f=1): [W(1)][15.1%][w=847MiB/s][w=6772 IOPS][eta 17m:58s] 
Jobs: 1 (f=1): [W(1)][15.2%][w=851MiB/s][w=6809 IOPS][eta 17m:56s]Jobs: 1 (f=1): [W(1)][15.3%][w=857MiB/s][w=6853 IOPS][eta 17m:54s] 
Jobs: 1 (f=1): [W(1)][15.4%][w=847MiB/s][w=6773 IOPS][eta 17m:53s]Jobs: 1 (f=1): [W(1)][15.5%][w=847MiB/s][w=6777 IOPS][eta 17m:51s] 
Jobs: 1 (f=1): [W(1)][15.6%][w=852MiB/s][w=6816 IOPS][eta 17m:49s]Jobs: 1 (f=1): [W(1)][15.6%][w=861MiB/s][w=6891 IOPS][eta 17m:48s] 
Jobs: 1 (f=1): [W(1)][15.7%][w=838MiB/s][w=6702 IOPS][eta 17m:46s]Jobs: 1 (f=1): [W(1)][15.8%][w=850MiB/s][w=6796 IOPS][eta 17m:44s] 
Jobs: 1 (f=1): [W(1)][15.9%][w=857MiB/s][w=6857 IOPS][eta 17m:43s]Jobs: 1 (f=1): [W(1)][16.0%][w=852MiB/s][w=6818 IOPS][eta 17m:41s] 
Jobs: 1 (f=1): [W(1)][16.1%][w=840MiB/s][w=6723 IOPS][eta 17m:40s]Jobs: 1 (f=1): [W(1)][16.2%][w=857MiB/s][w=6859 IOPS][eta 17m:38s] 
Jobs: 1 (f=1): [W(1)][16.3%][w=856MiB/s][w=6848 IOPS][eta 17m:36s]Jobs: 1 (f=1): [W(1)][16.3%][w=842MiB/s][w=6732 IOPS][eta 17m:35s] 
Jobs: 1 (f=1): [W(1)][16.4%][w=853MiB/s][w=6821 IOPS][eta 17m:33s]Jobs: 1 (f=1): [W(1)][16.5%][w=854MiB/s][w=6833 IOPS][eta 17m:32s] 
Jobs: 1 (f=1): [W(1)][16.6%][w=856MiB/s][w=6850 IOPS][eta 17m:30s]Jobs: 1 (f=1): [W(1)][16.7%][w=841MiB/s][w=6731 IOPS][eta 17m:28s] 
Jobs: 1 (f=1): [W(1)][16.8%][w=854MiB/s][w=6828 IOPS][eta 17m:27s]Jobs: 1 (f=1): [W(1)][16.9%][w=854MiB/s][w=6833 IOPS][eta 17m:25s] 
Jobs: 1 (f=1): [W(1)][16.9%][w=855MiB/s][w=6837 IOPS][eta 17m:24s]Jobs: 1 (f=1): [W(1)][17.0%][w=847MiB/s][w=6777 IOPS][eta 17m:22s] 
Jobs: 1 (f=1): [W(1)][17.1%][w=852MiB/s][w=6818 IOPS][eta 17m:21s]Jobs: 1 (f=1): [W(1)][17.2%][w=859MiB/s][w=6870 IOPS][eta 17m:19s] 
Jobs: 1 (f=1): [W(1)][17.3%][w=845MiB/s][w=6760 IOPS][eta 17m:17s]Jobs: 1 (f=1): [W(1)][17.4%][w=851MiB/s][w=6810 IOPS][eta 17m:16s] 
Jobs: 1 (f=1): [W(1)][17.5%][w=855MiB/s][w=6838 IOPS][eta 17m:14s]Jobs: 1 (f=1): [W(1)][17.6%][w=862MiB/s][w=6897 IOPS][eta 17m:13s] 
Jobs: 1 (f=1): [W(1)][17.7%][w=839MiB/s][w=6715 IOPS][eta 17m:11s]Jobs: 1 (f=1): [W(1)][17.7%][w=853MiB/s][w=6822 IOPS][eta 17m:10s] 
